filename,elapsed_time,input_size,output_size,format,video_codec,audio_codec,wasm,index
"earth.mp4",6.754734999965876,1570024,1322592,"matroska","mpeg4","aac",1,1
"earth.mp4",6.334085000038613,1570024,1322592,"matroska","mpeg4","aac",1,2
"earth.mp4",6.263915000017732,1570024,1322592,"matroska","mpeg4","aac",1,3
"earth.mp4",6.288254999963101,1570024,1322592,"matroska","mpeg4","aac",1,4
"earth.mp4",6.608089999994263,1570024,1322592,"matroska","mpeg4","aac",1,5
"earth.mp4",6.464110000000801,1570024,1322592,"matroska","mpeg4","aac",1,6
"earth.mp4",6.251115000050049,1570024,1322592,"matroska","mpeg4","aac",1,7
"earth.mp4",6.383924999972805,1570024,1322592,"matroska","mpeg4","aac",1,8
"earth.mp4",6.249929999990854,1570024,1322592,"matroska","mpeg4","aac",1,9
"earth.mp4",6.42261500004679,1570024,1322592,"matroska","mpeg4","aac",1,10
"earth.mp4",6.205789999978151,1570024,1322592,"matroska","mpeg4","aac",1,11
"earth.mp4",6.43697500001872,1570024,1322592,"matroska","mpeg4","aac",1,12
"earth.mp4",6.20013499999186,1570024,1322592,"matroska","mpeg4","aac",1,13
"earth.mp4",6.462775000021793,1570024,1322592,"matroska","mpeg4","aac",1,14
"earth.mp4",6.350065000005998,1570024,1322592,"matroska","mpeg4","aac",1,15
"earth.mp4",6.330815000052098,1570024,1322592,"matroska","mpeg4","aac",1,16
"earth.mp4",6.342705000017304,1570024,1322592,"matroska","mpeg4","aac",1,17
"earth.mp4",6.483620000013616,1570024,1322592,"matroska","mpeg4","aac",1,18
"earth.mp4",6.210055000032298,1570024,1322592,"matroska","mpeg4","aac",1,19
"earth.mp4",6.678889999981038,1570024,1322592,"matroska","mpeg4","aac",1,20
"earth.mp4",6.410444999986794,1570024,1322592,"matroska","mpeg4","aac",1,21
"earth.mp4",6.485024999943562,1570024,1322592,"matroska","mpeg4","aac",1,22
"earth.mp4",6.3532450000057,1570024,1322592,"matroska","mpeg4","aac",1,23
"earth.mp4",6.323329999984708,1570024,1322592,"matroska","mpeg4","aac",1,24
"earth.mp4",6.341164999990724,1570024,1322592,"matroska","mpeg4","aac",1,25
"earth.mp4",6.254810000013094,1570024,1322592,"matroska","mpeg4","aac",1,26
"earth.mp4",6.371784999966621,1570024,1322592,"matroska","mpeg4","aac",1,27
"earth.mp4",6.4030149999889545,1570024,1322592,"matroska","mpeg4","aac",1,28
"earth.mp4",6.160945000010543,1570024,1322592,"matroska","mpeg4","aac",1,29
"earth.mp4",6.22941999998875,1570024,1322592,"matroska","mpeg4","aac",1,30
"earth.mp4",6.431204999971669,1570024,1322592,"matroska","mpeg4","aac",1,31
"earth.mp4",6.333564999978989,1570024,1322592,"matroska","mpeg4","aac",1,32
"earth.mp4",6.129669999994803,1570024,1322592,"matroska","mpeg4","aac",1,33
"earth.mp4",6.477575000026263,1570024,1322592,"matroska","mpeg4","aac",1,34
"earth.mp4",6.42269999999553,1570024,1322592,"matroska","mpeg4","aac",1,35
"earth.mp4",6.383984999964014,1570024,1322592,"matroska","mpeg4","aac",1,36
"earth.mp4",6.441995000001043,1570024,1322592,"matroska","mpeg4","aac",1,37
"earth.mp4",6.23654999997234,1570024,1322592,"matroska","mpeg4","aac",1,38
"earth.mp4",6.310360000003129,1570024,1322592,"matroska","mpeg4","aac",1,39
"earth.mp4",6.385479999997187,1570024,1322592,"matroska","mpeg4","aac",1,40
"earth.mp4",6.1593050000374205,1570024,1322592,"matroska","mpeg4","aac",1,41
"earth.mp4",6.2279449999914505,1570024,1322592,"matroska","mpeg4","aac",1,42
"earth.mp4",6.243740000005346,1570024,1322592,"matroska","mpeg4","aac",1,43
"earth.mp4",6.485600000014529,1570024,1322592,"matroska","mpeg4","aac",1,44
"earth.mp4",6.470534999971278,1570024,1322592,"matroska","mpeg4","aac",1,45
"earth.mp4",6.540150000015274,1570024,1322592,"matroska","mpeg4","aac",1,46
"earth.mp4",6.363294999988284,1570024,1322592,"matroska","mpeg4","aac",1,47
"earth.mp4",6.598560000013094,1570024,1322592,"matroska","mpeg4","aac",1,48
"earth.mp4",6.293295000039507,1570024,1322592,"matroska","mpeg4","aac",1,49
"earth.mp4",6.854539999971166,1570024,1322592,"matroska","mpeg4","aac",1,50
"earth.mp4",15.272375000000466,1570024,1322592,"matroska","mpeg4","aac",0,1
"earth.mp4",15.136515000020154,1570024,1322592,"matroska","mpeg4","aac",0,2
"earth.mp4",15.218680000049062,1570024,1322592,"matroska","mpeg4","aac",0,3
"earth.mp4",15.391029999998864,1570024,1322592,"matroska","mpeg4","aac",0,4
"earth.mp4",15.006529999955092,1570024,1322592,"matroska","mpeg4","aac",0,5
"earth.mp4",14.975769999960903,1570024,1322592,"matroska","mpeg4","aac",0,6
"earth.mp4",15.032290000002831,1570024,1322592,"matroska","mpeg4","aac",0,7
"earth.mp4",15.023164999962319,1570024,1322592,"matroska","mpeg4","aac",0,8
"earth.mp4",15.154204999969807,1570024,1322592,"matroska","mpeg4","aac",0,9
"earth.mp4",15.132184999994934,1570024,1322592,"matroska","mpeg4","aac",0,10
"earth.mp4",15.139960000000428,1570024,1322592,"matroska","mpeg4","aac",0,11
"earth.mp4",15.239690000016708,1570024,1322592,"matroska","mpeg4","aac",0,12
"earth.mp4",15.036054999975022,1570024,1322592,"matroska","mpeg4","aac",0,13
"earth.mp4",15.092799999983981,1570024,1322592,"matroska","mpeg4","aac",0,14
"earth.mp4",15.257999999972526,1570024,1322592,"matroska","mpeg4","aac",0,15
"earth.mp4",15.15094500000123,1570024,1322592,"matroska","mpeg4","aac",0,16
"earth.mp4",14.849540000024717,1570024,1322592,"matroska","mpeg4","aac",0,17
"earth.mp4",15.02935000002617,1570024,1322592,"matroska","mpeg4","aac",0,18
"earth.mp4",15.086175000004005,1570024,1322592,"matroska","mpeg4","aac",0,19
"earth.mp4",15.378390000027139,1570024,1322592,"matroska","mpeg4","aac",0,20
"earth.mp4",15.268294999958016,1570024,1322592,"matroska","mpeg4","aac",0,21
"earth.mp4",15.094144999980927,1570024,1322592,"matroska","mpeg4","aac",0,22
"earth.mp4",15.803740000003017,1570024,1322592,"matroska","mpeg4","aac",0,23
"earth.mp4",15.213660000008531,1570024,1322592,"matroska","mpeg4","aac",0,24
"earth.mp4",14.980949999997392,1570024,1322592,"matroska","mpeg4","aac",0,25
"earth.mp4",15.017664999992121,1570024,1322592,"matroska","mpeg4","aac",0,26
"earth.mp4",15.222130000009201,1570024,1322592,"matroska","mpeg4","aac",0,27
"earth.mp4",15.124535000009928,1570024,1322592,"matroska","mpeg4","aac",0,28
"earth.mp4",15.090570000000298,1570024,1322592,"matroska","mpeg4","aac",0,29
"earth.mp4",15.01871500001289,1570024,1322592,"matroska","mpeg4","aac",0,30
"earth.mp4",15.08824499999173,1570024,1322592,"matroska","mpeg4","aac",0,31
"earth.mp4",15.053450000006706,1570024,1322592,"matroska","mpeg4","aac",0,32
"earth.mp4",15.351055000035558,1570024,1322592,"matroska","mpeg4","aac",0,33
"earth.mp4",15.130350000050385,1570024,1322592,"matroska","mpeg4","aac",0,34
"earth.mp4",15.180774999957066,1570024,1322592,"matroska","mpeg4","aac",0,35
"earth.mp4",15.093170000007376,1570024,1322592,"matroska","mpeg4","aac",0,36
"earth.mp4",15.006089999980759,1570024,1322592,"matroska","mpeg4","aac",0,37
"earth.mp4",15.415150000015274,1570024,1322592,"matroska","mpeg4","aac",0,38
