filename,elapsed_time,input_size,output_size,format,video_codec,audio_codec,wasm,index
"lucas.mov",14.098785000001953,4204319,1053916,"matroska","mpeg4","aac",0,17
"lucas.mov",19.0592700000052,4204319,1053916,"matroska","mpeg4","aac",0,18
"lucas.mov",16.999190000002272,4204319,1053916,"matroska","mpeg4","aac",0,19
"lucas.mov",15.979245000002265,4204319,1053916,"matroska","mpeg4","aac",0,20
"lucas.mov",15.873289999995905,4204319,1053916,"matroska","mpeg4","aac",0,21
"lucas.mov",14.452000000004773,4204319,1053916,"matroska","mpeg4","aac",0,22
"lucas.mov",13.853844999997818,4204319,1053916,"matroska","mpeg4","aac",0,23
"lucas.mov",13.85662500000035,4204319,1053916,"matroska","mpeg4","aac",0,24
"lucas.mov",14.116099999999278,4204319,1053916,"matroska","mpeg4","aac",0,25
"lucas.mov",14.582710000002407,4204319,1053916,"matroska","mpeg4","aac",0,26
"lucas.mov",14.100674999994226,4204319,1053916,"matroska","mpeg4","aac",0,27
"lucas.mov",14.126015000001644,4204319,1053916,"matroska","mpeg4","aac",0,28
"lucas.mov",14.097580000001471,4204319,1053916,"matroska","mpeg4","aac",0,29
"lucas.mov",14.04098000000522,4204319,1053916,"matroska","mpeg4","aac",0,30
"lucas.mov",13.980645000003278,4204319,1053916,"matroska","mpeg4","aac",0,31
"lucas.mov",15.95802000000549,4204319,1053916,"matroska","mpeg4","aac",0,32
"lucas.mov",14.873184999996738,4204319,1053916,"matroska","mpeg4","aac",0,33
"lucas.mov",13.941899999997986,4204319,1053916,"matroska","mpeg4","aac",0,34
"lucas.mov",14.014035000000149,4204319,1053916,"matroska","mpeg4","aac",0,35
"lucas.mov",14.094060000003083,4204319,1053916,"matroska","mpeg4","aac",0,36
"lucas.mov",15.418745000002673,4204319,1053916,"matroska","mpeg4","aac",0,37
"lucas.mov",14.22865499999898,4204319,1053916,"matroska","mpeg4","aac",0,38
"lucas.mov",13.976230000000214,4204319,1053916,"matroska","mpeg4","aac",0,39
"lucas.mov",13.937794999998005,4204319,1053916,"matroska","mpeg4","aac",0,40
"lucas.mov",13.946255000002566,4204319,1053916,"matroska","mpeg4","aac",0,41
"lucas.mov",13.992435000000114,4204319,1053916,"matroska","mpeg4","aac",0,42
"lucas.mov",14.10410000000411,4204319,1053916,"matroska","mpeg4","aac",0,43
"lucas.mov",14.0352600000042,4204319,1053916,"matroska","mpeg4","aac",0,44
"lucas.mov",15.53457999999955,4204319,1053916,"matroska","mpeg4","aac",0,45
"lucas.mov",14.3350350000037,4204319,1053916,"matroska","mpeg4","aac",0,46
"lucas.mov",13.972970000002533,4204319,1053916,"matroska","mpeg4","aac",0,47
"lucas.mov",14.04915500000061,4204319,1053916,"matroska","mpeg4","aac",0,48
"lucas.mov",14.133665000001201,4204319,1053916,"matroska","mpeg4","aac",0,49
"lucas.mov",13.989289999997709,4204319,1053916,"matroska","mpeg4","aac",0,50
"earth.mp4",6.290409999994154,1570024,1322592,"matroska","mpeg4","aac",1,1
"earth.mp4",7.374985000002198,1570024,1322592,"matroska","mpeg4","aac",1,2
"earth.mp4",7.27730000000156,1570024,1322592,"matroska","mpeg4","aac",1,3
"earth.mp4",7.1146500000031665,1570024,1322592,"matroska","mpeg4","aac",1,4
"earth.mp4",7.167565000003378,1570024,1322592,"matroska","mpeg4","aac",1,5
"earth.mp4",6.26296999999613,1570024,1322592,"matroska","mpeg4","aac",1,6
"earth.mp4",6.176070000001346,1570024,1322592,"matroska","mpeg4","aac",1,7
"earth.mp4",6.365440000001399,1570024,1322592,"matroska","mpeg4","aac",1,8
"earth.mp4",6.208515000005718,1570024,1322592,"matroska","mpeg4","aac",1,9
"earth.mp4",7.045910000000731,1570024,1322592,"matroska","mpeg4","aac",1,10
"earth.mp4",6.956230000003416,1570024,1322592,"matroska","mpeg4","aac",1,11
"earth.mp4",6.246069999993779,1570024,1322592,"matroska","mpeg4","aac",1,12
"earth.mp4",6.182294999998703,1570024,1322592,"matroska","mpeg4","aac",1,13
"earth.mp4",6.106410000000324,1570024,1322592,"matroska","mpeg4","aac",1,14
"earth.mp4",8.664160000000265,1570024,1322592,"matroska","mpeg4","aac",1,15
"earth.mp4",6.5405400000017835,1570024,1322592,"matroska","mpeg4","aac",1,16
"earth.mp4",7.185545000000275,1570024,1322592,"matroska","mpeg4","aac",1,17
"earth.mp4",6.552835000002233,1570024,1322592,"matroska","mpeg4","aac",1,18
"earth.mp4",6.494039999997767,1570024,1322592,"matroska","mpeg4","aac",1,19
"earth.mp4",6.2371449999991455,1570024,1322592,"matroska","mpeg4","aac",1,20
"earth.mp4",6.445315000004484,1570024,1322592,"matroska","mpeg4","aac",1,21
"earth.mp4",6.3529750000016065,1570024,1322592,"matroska","mpeg4","aac",1,22
"earth.mp4",6.2476300000053016,1570024,1322592,"matroska","mpeg4","aac",1,23
"earth.mp4",6.4171949999945355,1570024,1322592,"matroska","mpeg4","aac",1,24
"earth.mp4",6.302179999998771,1570024,1322592,"matroska","mpeg4","aac",1,25
"earth.mp4",6.288769999999204,1570024,1322592,"matroska","mpeg4","aac",1,26
"earth.mp4",6.188034999999218,1570024,1322592,"matroska","mpeg4","aac",1,27
"earth.mp4",6.2805200000002515,1570024,1322592,"matroska","mpeg4","aac",1,28
"earth.mp4",6.2699849999989965,1570024,1322592,"matroska","mpeg4","aac",1,29
"earth.mp4",6.221880000004603,1570024,1322592,"matroska","mpeg4","aac",1,30
"earth.mp4",6.2975250000017695,1570024,1322592,"matroska","mpeg4","aac",1,31
"earth.mp4",6.280869999995048,1570024,1322592,"matroska","mpeg4","aac",1,32
